DeltaR1Voxel,TissueCategory
6.03E-03,TUMOUR
5.99E-03,TUMOUR
5.95E-03,TUMOUR
5.91E-03,TUMOUR
5.86E-03,TUMOUR
5.82E-03,TUMOUR
5.78E-03,TUMOUR
5.73E-03,TUMOUR
5.69E-03,TUMOUR
5.64E-03,TUMOUR
5.68E-03,TUMOUR
5.64E-03,TUMOUR
5.60E-03,TUMOUR
5.56E-03,TUMOUR
5.52E-03,TUMOUR
5.48E-03,TUMOUR
5.44E-03,TUMOUR
5.39E-03,TUMOUR
5.35E-03,TUMOUR
5.30E-03,TUMOUR
5.38E-03,TUMOUR
5.34E-03,TUMOUR
5.30E-03,TUMOUR
5.26E-03,TUMOUR
5.22E-03,TUMOUR
5.18E-03,TUMOUR
5.14E-03,TUMOUR
5.09E-03,TUMOUR
5.05E-03,TUMOUR
5.00E-03,TUMOUR
5.11E-03,TUMOUR
5.08E-03,TUMOUR
5.04E-03,TUMOUR
5.00E-03,TUMOUR
4.96E-03,TUMOUR
4.92E-03,TUMOUR
4.87E-03,TUMOUR
4.83E-03,TUMOUR
4.79E-03,TUMOUR
4.74E-03,TUMOUR
4.88E-03,TUMOUR
4.84E-03,TUMOUR
4.80E-03,TUMOUR
4.76E-03,TUMOUR
4.72E-03,TUMOUR
4.68E-03,TUMOUR
4.64E-03,TUMOUR
4.60E-03,TUMOUR
4.55E-03,TUMOUR
4.51E-03,TUMOUR
4.67E-03,TUMOUR
4.63E-03,TUMOUR
4.59E-03,TUMOUR
4.55E-03,TUMOUR
4.51E-03,TUMOUR
4.47E-03,TUMOUR
4.43E-03,TUMOUR
4.39E-03,TUMOUR
4.35E-03,TUMOUR
4.30E-03,TUMOUR
4.48E-03,TUMOUR
4.44E-03,TUMOUR
4.40E-03,TUMOUR
4.36E-03,TUMOUR
4.33E-03,TUMOUR
4.29E-03,TUMOUR
4.24E-03,TUMOUR
4.20E-03,TUMOUR
4.16E-03,TUMOUR
4.12E-03,TUMOUR
4.31E-03,TUMOUR
4.27E-03,TUMOUR
4.23E-03,TUMOUR
4.19E-03,TUMOUR
4.16E-03,TUMOUR
4.12E-03,TUMOUR
4.08E-03,TUMOUR
4.03E-03,TUMOUR
3.99E-03,TUMOUR
3.95E-03,TUMOUR
4.15E-03,TUMOUR
4.11E-03,TUMOUR
4.08E-03,TUMOUR
4.04E-03,TUMOUR
4.00E-03,TUMOUR
3.96E-03,TUMOUR
3.92E-03,TUMOUR
3.88E-03,TUMOUR
3.84E-03,TUMOUR
3.80E-03,TUMOUR
4.01E-03,TUMOUR
3.97E-03,TUMOUR
3.94E-03,TUMOUR
3.90E-03,TUMOUR
3.86E-03,TUMOUR
3.82E-03,TUMOUR
3.78E-03,TUMOUR
3.74E-03,TUMOUR
3.70E-03,TUMOUR
3.66E-03,TUMOUR
6.03E-03,TUMOUR
5.99E-03,TUMOUR
5.95E-03,TUMOUR
5.90E-03,TUMOUR
5.86E-03,TUMOUR
5.81E-03,TUMOUR
5.77E-03,TUMOUR
5.72E-03,TUMOUR
5.67E-03,TUMOUR
5.62E-03,TUMOUR
5.69E-03,TUMOUR
5.64E-03,TUMOUR
5.60E-03,TUMOUR
5.56E-03,TUMOUR
5.52E-03,TUMOUR
5.47E-03,TUMOUR
5.43E-03,TUMOUR
5.38E-03,TUMOUR
5.33E-03,TUMOUR
5.28E-03,TUMOUR
5.39E-03,TUMOUR
